time,open,high,low,close
1987-02-02,99.27,101.21,97.87,100.83
1987-02-09,100.02,100.57,98.19,99.33
1987-02-16,98.97,100.64,98.8,99.41
1987-02-23,99.48,100.06,98.83,99.26
1987-03-02,99.18,99.82,99.07,99.57
1987-03-09,99.87,100.44,99.63,99.68
1987-03-16,99.22,99.29,98.51,98.53
1987-03-23,98.15,98.56,97.46,97.64
1987-03-30,97.14,98.2,96.81,97.68
1987-04-06,97.77,98.44,96.5,96.88
1987-04-13,96.76,97.32,96.11,96.95
1987-04-20,96.97,97.49,95.61,95.82
1987-04-27,95.27,96.45,95.25,95.37
1987-05-04,95.43,96.06,94.82,95.86
1987-05-11,96.22,96.36,95.24,95.38
1987-05-18,95.39,95.9,95.11,95.83
1987-05-25,96.62,97.91,96.59,97.77
1987-06-01,98.32,98.43,96.46,97.57
1987-06-08,96.8,97.31,96,97.2
1987-06-15,97.78,98.24,97.61,98.15
1987-06-22,98.41,99.06,97.67,98.18
1987-06-29,98.36,98.53,97.97,98.41
1987-07-06,98.95,99.27,98.62,99.17
1987-07-13,99.26,100.06,98.13,100.01
1987-07-20,99.9,100.23,99.35,99.55
1987-07-27,99.4,99.98,99.36,99.79
1987-08-03,99.76,101.32,99.72,101.29
1987-08-10,101.34,101.74,100.16,100.51
1987-08-17,100.56,100.6,97.24,97.27
1987-08-24,97.68,98.2,96.95,97.09
1987-08-31,97.28,97.42,95.97,96.45
1987-09-07,96.28,97.11,96.1,97.01
1987-09-14,97.43,97.73,96.61,96.71
1987-09-21,96.96,97.82,96.9,97.4
1987-09-28,97.63,98.81,97.52,98.64
1987-10-05,98.6,98.68,96.85,96.85
1987-10-12,97.01,97.46,96.16,96.33
1987-10-19,95.26,97.51,95.07,95.68
1987-10-26,95.16,95.6,93.26,93.65
1987-11-02,93.25,93.36,90.84,91.09
1987-11-09,91.04,92.18,90,91.73
1987-11-16,92.86,92.91,90.35,91.26
1987-11-23,90.63,91.62,89.98,90
1987-11-30,89.12,90.73,89.03,90.47
1987-12-07,90.53,90.79,88.49,88.54
1987-12-14,88.18,88.72,87.71,88.56
1987-12-21,88.35,88.84,88.1,88.11
1987-12-28,86.86,86.9,85.33,85.42
1988-01-04,85.89,89.75,85.87,89
1988-01-11,88.67,90.84,87.93,90.75
1988-01-18,90.72,90.8,89.27,89.69
1988-01-25,89.97,90.37,89.59,90.34
1988-02-01,90.75,91.29,90.3,91.15
1988-02-08,91.24,92.04,90.62,91.85
1988-02-15,91.86,91.87,91.24,91.56
1988-02-22,91.33,91.35,90.42,90.53
1988-02-29,90.56,90.96,90.36,90.56
1988-03-07,90.25,90.27,89,89.02
1988-03-14,88.93,90.57,88.82,90.51
1988-03-21,90.13,90.36,89.18,89.35
1988-03-28,88.76,88.96,88.16,88.3
1988-04-04,88.37,89.5,87.87,89.14
1988-04-11,89.68,90.12,88.28,88.31
1988-04-18,88.4,88.98,88.16,88.89
1988-04-25,88.93,89.24,88.7,89.16
1988-05-02,89.32,89.55,89.08,89.3
1988-05-09,89.21,89.3,88.94,89.19
1988-05-16,89.29,90.27,89.23,89.95
1988-05-23,89.96,90.57,89.71,90.48
1988-05-30,90.79,91.64,90.72,91.3
1988-06-06,91.16,91.18,90.49,90.82
1988-06-13,90.96,92.29,90.89,92.05
1988-06-20,92.18,95.01,92.1,94.92
1988-06-27,95.61,96.09,94.41,95.89
1988-07-04,95.93,96.41,95.07,96.36
1988-07-11,96.38,98.15,96.07,98.13
1988-07-18,98.53,98.6,95.18,95.28
1988-07-25,95.88,97.55,95.74,97.53
1988-08-01,97.43,98.27,96.96,98.22
1988-08-08,98.51,99.47,97.61,97.93
1988-08-15,98,99.29,96.86,98.53
1988-08-22,99.37,99.61,97.33,97.49
1988-08-29,97.83,98.65,97.4,97.54
1988-09-05,97.29,97.46,96.79,97.21
1988-09-12,97.1,98.35,96.92,98.03
1988-09-19,97.86,98.43,97.58,98.12
1988-09-26,98.74,98.83,97.64,97.69
1988-10-03,97.63,97.65,97.15,97.33
1988-10-10,96.94,96.99,94.3,94.37
1988-10-17,94.73,94.79,93.38,93.39
1988-10-24,93.83,94.22,92.85,93.04
1988-10-31,92.83,93.96,92.76,93.8
1988-11-07,93.5,93.87,91.41,91.53
1988-11-14,92.06,92.09,90.62,91.43
1988-11-21,91.23,91.31,90.05,90.12
1988-11-28,90.81,90.97,90.04,90.06
1988-12-05,90.08,92.29,90.05,90.84
1988-12-12,91.06,92.37,90.92,92.09
1988-12-19,91.99,93.01,91.87,92.66
1988-12-26,92.73,93.66,92.44,92.5
1989-01-02,91.92,94.43,91.77,94.36
1989-01-09,95.06,95.43,94.36,95.32
1989-01-16,95.86,96.8,95.06,95.09
1989-01-23,95.51,96.33,94.48,96.19
1989-01-30,96.45,97.15,95.98,96.81
1989-02-06,97.15,97.17,95.13,96.38
1989-02-13,96.4,96.55,94.51,94.9
1989-02-20,95.82,95.83,94.39,94.66
1989-02-27,94.47,96.01,94.39,95.78
1989-03-06,95.88,96.73,95.84,96.49
1989-03-13,96.64,97.37,96.34,97.31
1989-03-20,97.28,97.47,96.65,96.99
1989-03-27,97.5,98.53,97.46,98.14
1989-04-03,97.99,98.04,96.73,97.52
1989-04-10,97.53,97.89,96.92,96.93
1989-04-17,96.76,96.95,96.11,96.36
1989-04-24,96.57,97.81,96.56,97.71
1989-05-01,98.02,98.55,97.89,98.42
1989-05-08,98.49,99.48,98.38,99.44
1989-05-15,100.59,102.45,100.13,101.97
1989-05-22,103.96,104.28,101.41,102.52
1989-05-29,103.85,104.18,101.13,101.22
1989-06-05,101.66,104.34,101.66,104.32
1989-06-12,105.33,106.56,103.11,103.33
1989-06-19,103.51,103.74,100.66,100.93
1989-06-26,101.67,102.47,101.33,102.02
1989-07-03,101.23,101.24,98.25,98.31
1989-07-10,97.96,99.99,97.66,99.99
1989-07-17,100.05,100.67,99.15,99.8
1989-07-24,99.85,100.04,97.69,98.29
1989-07-31,97.45,99.57,96.76,98.52
1989-08-07,99.77,101.22,98.47,101.03
1989-08-14,100.96,102.46,100.75,101.73
1989-08-21,101.79,102.06,100.89,101.85
1989-08-28,102.09,102.92,100.63,102.83
1989-09-04,103.45,103.69,102.7,103.5
1989-09-11,103.65,104.19,101.73,102.29
1989-09-18,102.78,102.78,101.24,101.91
1989-09-25,99.83,99.91,98.06,98.47
