Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
36,Entry long,2024-09-26 10:30,S2_LE,2661.501,3.7,9847.5537,-98.48,-1.00,89.09,0.90,-98.48,-1.00,2624.69,26.25,109
37,Exit long,2024-10-04 20:30,S2_SL,2636.726,3.7,9854.4357,-98.55,-1.00,36.18,0.37,-98.55,-1.00,2526.15,25.26,131
37,Entry long,2024-10-02 00:00,S2_LE,2663.361,3.7,9854.4357,-98.55,-1.00,36.18,0.37,-98.55,-1.00,2526.15,25.26,131
38,Exit long,2024-10-16 22:30,S2_LX_TP1,2671.236,3.8,9951.668,199.03,2.00,252.89,2.54,-64.79,-0.65,2725.17,27.25,233
38,Entry long,2024-10-09 21:00,S2_LE,2618.86,3.8,9951.668,199.03,2.00,252.89,2.54,-64.79,-0.65,2725.17,27.25,233
39,Exit long,2024-10-23 03:30,S2_LX_TP1,2746.909,3.7,9964.3775,199.19,2.00,204.48,2.05,-34.34,-0.34,2924.36,29.24,146
39,Entry long,2024-10-17 23:30,S2_LE,2693.075,3.7,9964.3775,199.19,2.00,204.48,2.05,-34.34,-0.34,2924.36,29.24,146
40,Exit long,2024-11-06 14:00,S2_SL,2717.243,3.6,9880.8876,-98.81,-1.00,163.36,1.65,-98.81,-1.00,2825.55,28.26,341
40,Entry long,2024-10-26 02:30,S2_LE,2744.691,3.6,9880.8876,-98.81,-1.00,163.36,1.65,-98.81,-1.00,2825.55,28.26,341
41,Exit long,2024-11-14 00:30,S2_SL,2585.34,3.8,9923.5328,-99.24,-1.00,28.06,0.28,-99.24,-1.00,2726.31,27.26,51
41,Entry long,2024-11-12 22:00,S2_LE,2611.456,3.8,9923.5328,-99.24,-1.00,28.06,0.28,-99.24,-1.00,2726.31,27.26,51
42,Exit long,2024-11-19 11:30,S2_LX_TP1,2623.979,3.8,9775.614,195.51,2.00,201.55,2.06,-69.14,-0.71,2921.81,29.22,104
42,Entry long,2024-11-15 04:30,S2_LE,2572.53,3.8,9775.614,195.51,2.00,201.55,2.06,-69.14,-0.71,2921.81,29.22,104
43,Exit long,2024-11-22 18:00,S2_LX_TP1,2702.796,3.7,9804.2637,196.08,2.00,213.38,2.18,-16.67,-0.17,3117.89,31.18,79
43,Entry long,2024-11-21 00:30,S2_LE,2649.801,3.7,9804.2637,196.08,2.00,213.38,2.18,-16.67,-0.17,3117.89,31.18,79
44,Exit long,2024-11-25 11:00,S2_SL,2690.661,3.6,9784.2276,-97.85,-1.00,12.85,0.13,-97.85,-1.00,3020.05,30.20,7
44,Entry long,2024-11-25 07:30,S2_LE,2717.841,3.6,9784.2276,-97.85,-1.00,12.85,0.13,-97.85,-1.00,3020.05,30.20,7
45,Exit long,2024-12-11 12:30,S2_LX_TP1,2684.384,3.8,9996.0178,204.64,2.05,280.52,2.81,-68.19,-0.68,3224.69,32.25,483
45,Entry long,2024-11-26 19:30,S2_LE,2630.531,3.8,9996.0178,204.64,2.05,280.52,2.81,-68.19,-0.68,3224.69,32.25,483
46,Exit long,2025-01-03 01:00,S2_LX_TP1,2658.353,3.8,9903.674,198.07,2.00,206.3,2.08,-39.23,-0.40,3422.75,34.23,334
46,Entry long,2024-12-20 16:00,S2_LE,2606.23,3.8,9903.674,198.07,2.00,206.3,2.08,-39.23,-0.40,3422.75,34.23,334
47,Exit long,2025-01-11 00:00,S2_LX_TP1,2689.332,3.7,9755.4237,195.1,2.00,226.63,2.32,-14.16,-0.15,3617.86,36.18,180
47,Entry long,2025-01-07 02:00,S2_LE,2636.601,3.7,9755.4237,195.1,2.00,226.63,2.32,-14.16,-0.15,3617.86,36.18,180
48,Exit long,2025-01-21 11:00,S2_LX_TP1,2722.686,3.7,9876.4137,197.52,2.00,213.45,2.16,-0.28,0.00,3815.38,38.15,194
48,Entry long,2025-01-15 02:30,S2_LE,2669.301,3.7,9876.4137,197.52,2.00,213.45,2.16,-0.28,0.00,3815.38,38.15,194
49,Exit long,2025-02-04 21:30,S2_LX_TP1,2830.653,3.6,9990.5436,199.81,2.00,223.09,2.23,-11.76,-0.12,4015.19,40.15,146
49,Entry long,2025-01-30 17:30,S2_LE,2775.151,3.6,9990.5436,199.81,2.00,223.09,2.23,-11.76,-0.12,4015.19,40.15,146
50,Exit long,2025-02-11 10:30,S2_LX_TP1,2915.218,3.4,9717.3972,194.34,2.00,287.82,2.96,-81.95,-0.84,4209.53,42.10,174
50,Entry long,2025-02-05 15:30,S2_LE,2858.058,3.4,9717.3972,194.34,2.00,287.82,2.96,-81.95,-0.84,4209.53,42.10,174
51,Exit long,2025-02-20 17:30,S2_LX_TP1,2950.319,3.4,9834.4014,196.68,2.00,212.41,2.16,-53.26,-0.54,4406.22,44.06,259
51,Entry long,2025-02-12 23:30,S2_LE,2892.471,3.4,9834.4014,196.68,2.00,212.41,2.16,-53.26,-0.54,4406.22,44.06,259
52,Exit long,2025-02-25 23:30,S2_SL,2901.68,3.4,9965.3694,-99.66,-1.00,85.54,0.86,-99.66,-1.00,4306.56,43.07,95
52,Entry long,2025-02-21 22:00,S2_LE,2930.991,3.4,9965.3694,-99.66,-1.00,85.54,0.86,-99.66,-1.00,4306.56,43.07,95
53,Exit long,2025-02-27 16:00,S2_SL,2884.075,3.4,9904.9106,-99.06,-1.00,25.46,0.26,-99.06,-1.00,4207.51,42.08,30
53,Entry long,2025-02-27 00:00,S2_LE,2913.209,3.4,9904.9106,-99.06,-1.00,25.46,0.26,-99.06,-1.00,4207.51,42.08,30
54,Exit long,2025-03-11 01:30,S2_SL,2888.025,3.4,9918.4732,-99.19,-1.00,44.83,0.45,-99.19,-1.00,4108.32,41.08,179
54,Entry long,2025-03-05 05:00,S2_LE,2917.198,3.4,9918.4732,-99.19,-1.00,44.83,0.45,-99.19,-1.00,4108.32,41.08,179
55,Exit long,2025-03-14 23:00,S2_LX_TP1,2980.739,3.4,9827.9754,306.54,3.12,388.82,3.96,-3.08,-0.03,4414.85,44.15,164
55,Entry long,2025-03-11 10:00,S2_LE,2890.581,3.4,9827.9754,306.54,3.12,388.82,3.96,-3.08,-0.03,4414.85,44.15,164
56,Exit long,2025-03-21 13:30,S2_SL,3022.448,3.2,9769.5328,-97.7,-1.00,14.5,0.15,-97.7,-1.00,4317.16,43.17,55
56,Entry long,2025-03-20 09:00,S2_LE,3052.979,3.2,9769.5328,-97.7,-1.00,14.5,0.15,-97.7,-1.00,4317.16,43.17,55
57,Exit long,2025-04-03 20:00,S2_SL,3080.998,3.2,9958.7872,-99.59,-1.00,177.98,1.79,-99.59,-1.00,4217.56,42.18,151
57,Entry long,2025-03-31 13:30,S2_LE,3112.121,3.2,9958.7872,-99.59,-1.00,177.98,1.79,-99.59,-1.00,4217.56,42.18,151
58,Exit long,2025-04-07 22:30,S2_SL,3000.853,3.2,9699.7312,-97,-1.00,22.06,0.23,-97,-1.00,4120.56,41.21,3
58,Entry long,2025-04-07 21:00,S2_LE,3031.166,3.2,9699.7312,-97,-1.00,22.06,0.23,-97,-1.00,4120.56,41.21,3
59,Exit long,2025-04-09 01:00,S2_SL,2977.335,3.3,9924.4563,-99.25,-1.00,50.44,0.51,-99.25,-1.00,4021.31,40.21,16
59,Entry long,2025-04-08 17:00,S2_LE,3007.411,3.3,9924.4563,-99.25,-1.00,50.44,0.51,-99.25,-1.00,4021.31,40.21,16
60,Exit long,2025-04-11 07:00,S2_LX_TP1,3184.705,3.2,9991.2352,199.82,2.00,218.87,2.19,-61.11,-0.61,4221.13,42.21,32
60,Entry long,2025-04-10 14:00,S2_LE,3122.261,3.2,9991.2352,199.82,2.00,218.87,2.19,-61.11,-0.61,4221.13,42.21,32
61,Exit long,2025-04-11 13:30,S2_SL,3186.849,3.1,9979.0271,-99.8,-1.00,3.35,0.03,-99.8,-1.00,4121.33,41.21,4
61,Entry long,2025-04-11 11:30,S2_LE,3219.041,3.1,9979.0271,-99.8,-1.00,3.35,0.03,-99.8,-1.00,4121.33,41.21,4
62,Exit long,2025-04-16 12:00,S2_LX_TP1,3277.249,3.1,9960.2721,199.2,2.00,219.48,2.20,-10.25,-0.10,4320.53,43.21,55
62,Entry long,2025-04-15 07:30,S2_LE,3212.991,3.1,9960.2721,199.2,2.00,219.48,2.20,-10.25,-0.10,4320.53,43.21,55
63,Exit long,2025-04-22 15:00,S2_LX_TP1,3462.63,2.9,9844.7373,196.89,2.00,305.61,3.10,-25.06,-0.25,4517.42,45.17,40
63,Entry long,2025-04-21 18:00,S2_LE,3394.737,2.9,9844.7373,196.89,2.00,305.61,3.10,-25.06,-0.25,4517.42,45.17,40
64,Exit long,2025-04-23 21:30,S2_SL,3282.596,3,9947.265,-99.48,-1.00,74.24,0.75,-99.48,-1.00,4417.95,44.18,10
64,Entry long,2025-04-23 16:30,S2_LE,3315.755,3,9947.265,-99.48,-1.00,74.24,0.75,-99.48,-1.00,4417.95,44.18,10
65,Exit long,2025-04-25 13:30,S2_SL,3293.67,3,9980.823,-99.81,-1.00,131.56,1.32,-99.81,-1.00,4318.13,43.18,49
65,Entry long,2025-04-24 12:00,S2_LE,3326.941,3,9980.823,-99.81,-1.00,131.56,1.32,-99.81,-1.00,4318.13,43.18,49
66,Exit long,2025-04-29 02:30,S2_LX_TP1,3348.18,3,9847.593,196.95,2.00,202.5,2.06,-28.53,-0.29,4515.08,45.15,19
66,Entry long,2025-04-28 17:00,S2_LE,3282.531,3,9847.593,196.95,2.00,202.5,2.06,-28.53,-0.29,4515.08,45.15,19
67,Exit long,2025-04-30 16:00,S2_SL,3283.136,3,9948.903,-99.49,-1.00,35.19,0.35,-99.49,-1.00,4415.59,44.16,17
67,Entry long,2025-04-30 07:30,S2_LE,3316.301,3,9948.903,-99.49,-1.00,35.19,0.35,-99.49,-1.00,4415.59,44.16,17
68,Exit long,2025-05-01 20:00,S2_SL,3202.798,3,9705.453,-97.06,-1.00,3.19,0.03,-97.06,-1.00,4318.53,43.19,6
68,Entry long,2025-05-01 17:00,S2_LE,3235.151,3,9705.453,-97.06,-1.00,3.19,0.03,-97.06,-1.00,4318.53,43.19,6
69,Exit long,2025-05-07 06:00,S2_LX_TP2,3385.064,3.1,9965.2445,528.45,5.30,694.96,6.97,-6.35,-0.06,4846.98,48.47,144
69,Entry long,2025-05-02 02:00,S2_LE,3214.595,3.1,9965.2445,528.45,5.30,694.96,6.97,-6.35,-0.06,4846.98,48.47,144
70,Exit long,2025-05-09 10:00,S2_SL,3282.864,3,9948.078,-99.49,-1.00,21.16,0.21,-99.49,-1.00,4747.5,47.47,4
70,Entry long,2025-05-09 08:00,S2_LE,3316.026,3,9948.078,-99.49,-1.00,21.16,0.21,-99.49,-1.00,4747.5,47.47,4
71,Exit long,2025-05-12 06:00,S2_SL,3297.575,2.9,9681.9429,-118.98,-1.23,4.06,0.04,-118.98,-1.23,4628.52,46.29,4
71,Entry long,2025-05-10 03:00,S2_LE,3338.601,2.9,9681.9429,-118.98,-1.23,4.06,0.04,-118.98,-1.23,4628.52,46.29,4
72,Exit long,2025-05-14 20:00,S2_SL,3210.593,3,9729.075,-97.3,-1.00,67.46,0.69,-97.3,-1.00,4531.22,45.31,87
72,Entry long,2025-05-12 22:30,S2_LE,3243.025,3,9729.075,-97.3,-1.00,67.46,0.69,-97.3,-1.00,4531.22,45.31,87
73,Exit long,2025-05-15 22:30,S2_LX_TP1,3205.059,3.1,9740.8696,194.81,2.00,201.2,2.07,-10.85,-0.11,4726.04,47.26,13
73,Entry long,2025-05-15 16:00,S2_LE,3142.216,3.1,9740.8696,194.81,2.00,201.2,2.07,-10.85,-0.11,4726.04,47.26,13
74,Exit long,2025-05-16 18:30,S2_SL,3188.918,3.1,9985.5061,-99.86,-1.00,95.85,0.96,-99.86,-1.00,4626.18,46.26,31
74,Entry long,2025-05-16 02:00,S2_LE,3221.131,3.1,9985.5061,-99.86,-1.00,95.85,0.96,-99.86,-1.00,4626.18,46.26,31
75,Exit long,2025-05-21 04:00,S2_LX_TP1,3292.962,3,9685.188,193.7,2.00,201.97,2.09,-72.57,-0.75,4819.87,48.20,80
75,Entry long,2025-05-19 11:00,S2_LE,3228.396,3,9685.188,193.7,2.00,201.97,2.09,-72.57,-0.75,4819.87,48.20,80
76,Exit long,2025-05-22 19:00,S2_SL,3286.819,3,9960.063,-99.61,-1.00,76.14,0.76,-99.61,-1.00,4720.27,47.20,54
76,Entry long,2025-05-21 15:00,S2_LE,3320.021,3,9960.063,-99.61,-1.00,76.14,0.76,-99.61,-1.00,4720.27,47.20,54
77,Exit long,2025-05-29 07:00,S2_SL,3271.973,3,9915.075,-99.16,-1.00,182.72,1.84,-99.16,-1.00,4621.11,46.21,173
77,Entry long,2025-05-23 10:00,S2_LE,3305.025,3,9915.075,-99.16,-1.00,182.72,1.84,-99.16,-1.00,4621.11,46.21,173
78,Exit long,2025-06-03 11:30,S2_LX_TP1,3362.994,3,9817.383,271.6,2.77,358.92,3.66,-13.94,-0.14,4892.71,48.93,133
78,Entry long,2025-05-29 14:00,S2_LE,3272.461,3,9817.383,271.6,2.77,358.92,3.66,-13.94,-0.14,4892.71,48.93,133
79,Exit long,2025-06-06 22:00,S2_SL,3326.261,2.9,9743.5969,-97.44,-1.00,126.38,1.30,-97.44,-1.00,4795.27,47.95,120
79,Entry long,2025-06-04 08:00,S2_LE,3359.861,2.9,9743.5969,-97.44,-1.00,126.38,1.30,-97.44,-1.00,4795.27,47.95,120
80,Exit long,2025-06-16 13:30,S2_LX_TP1,3418.779,3,9989.193,267.14,2.67,368.31,3.69,-43.46,-0.44,5062.42,50.62,175
80,Entry long,2025-06-10 18:00,S2_LE,3329.731,3,9989.193,267.14,2.67,368.31,3.69,-43.46,-0.44,5062.42,50.62,175
81,Exit long,2025-06-19 14:00,S2_SL,3353.738,2.9,9824.0864,-98.25,-1.00,36.03,0.37,-98.25,-1.00,4964.17,49.64,79
81,Entry long,2025-06-17 20:30,S2_LE,3387.616,2.9,9824.0864,-98.25,-1.00,36.03,0.37,-98.25,-1.00,4964.17,49.64,79
82,Exit long,2025-06-27 11:00,S2_SL,3300.719,2.9,9668.7769,-96.69,-1.00,47.21,0.49,-96.69,-1.00,4867.48,48.67,83
82,Entry long,2025-06-25 15:30,S2_LE,3334.061,2.9,9668.7769,-96.69,-1.00,47.21,0.49,-96.69,-1.00,4867.48,48.67,83
83,Exit long,2025-07-07 10:30,S2_SL,3306.065,2.9,9684.4369,-96.85,-1.00,76.09,0.79,-96.85,-1.00,4770.63,47.71,165
83,Entry long,2025-07-01 16:00,S2_LE,3339.461,2.9,9684.4369,-96.85,-1.00,76.09,0.79,-96.85,-1.00,4770.63,47.71,165
84,Exit long,2025-07-22 01:00,S2_LX_TP1,3391.806,3,9975.903,199.52,2.00,228.48,2.29,-47.18,-0.47,4970.14,49.70,335
84,Entry long,2025-07-10 18:30,S2_LE,3325.301,3,9975.903,199.52,2.00,228.48,2.29,-47.18,-0.47,4970.14,49.70,335
85,Exit long,2025-07-24 20:00,S2_SL,3361.059,2.9,9845.5319,-98.46,-1.00,127.34,1.29,-98.46,-1.00,4871.68,48.72,115
85,Entry long,2025-07-22 08:30,S2_LE,3395.011,2.9,9845.5319,-98.46,-1.00,127.34,1.29,-98.46,-1.00,4871.68,48.72,115
86,Exit long,2025-07-31 02:30,S2_SL,3284.204,3,9952.137,-99.52,-1.00,50.22,0.50,-99.52,-1.00,4772.16,47.72,72
86,Entry long,2025-07-29 13:30,S2_LE,3317.379,3,9952.137,-99.52,-1.00,50.22,0.50,-99.52,-1.00,4772.16,47.72,72
87,Exit long,2025-08-12 19:30,S2_SL,3338.57,2.9,9779.6526,-97.8,-1.00,106.56,1.09,-97.8,-1.00,4674.36,46.74,160
87,Entry long,2025-08-07 08:30,S2_LE,3372.294,2.9,9779.6526,-97.8,-1.00,106.56,1.09,-97.8,-1.00,4674.36,46.74,160
88,Exit long,2025-08-20 00:30,S2_SL,3318.41,2.9,9720.5999,-97.21,-1.00,66.29,0.68,-97.21,-1.00,4577.15,45.77,212
88,Entry long,2025-08-13 10:30,S2_LE,3351.931,2.9,9720.5999,-97.21,-1.00,66.29,0.68,-97.21,-1.00,4577.15,45.77,212
89,Exit long,2025-08-27 06:00,S2_LX_TP1,3393.325,3,9980.373,199.6,2.00,202.59,2.03,-17.24,-0.17,4776.75,47.77,205
