Datetime,Open,High,Low,Close,Volume
2026-04-17 15:30:00+08:00,98.189,98.214,98.189,98.211,0.0
2026-04-17 16:00:00+08:00,98.212,98.242,98.204,98.216,0.0
2026-04-17 16:30:00+08:00,98.216,98.238,98.199,98.235,0.0
2026-04-17 17:00:00+08:00,98.233,98.272,98.228,98.257,0.0
2026-04-17 17:30:00+08:00,98.261,98.265,98.237,98.255,0.0
2026-04-17 18:00:00+08:00,98.256,98.28,98.252,98.259,0.0
2026-04-17 18:30:00+08:00,98.261,98.266,98.24,98.246,0.0
2026-04-17 19:00:00+08:00,98.247,98.269,98.233,98.263,0.0
2026-04-17 19:30:00+08:00,98.268,98.268,98.194,98.207,0.0
2026-04-17 20:00:00+08:00,98.21,98.223,98.2,98.212,0.0
2026-04-17 20:30:00+08:00,98.214,98.224,98.204,98.215,0.0
2026-04-17 21:00:00+08:00,98.215,98.238,98.205,98.206,0.0
2026-04-17 21:30:00+08:00,98.204,98.234,98.204,98.225,0.0
2026-04-17 22:00:00+08:00,98.227,98.269,98.21,98.265,0.0
2026-04-17 22:30:00+08:00,98.266,98.291,98.241,98.273,0.0
2026-04-17 23:00:00+08:00,98.272,98.272,98.213,98.225,0.0
2026-04-17 23:30:00+08:00,98.228,98.244,98.195,98.198,0.0
2026-04-18 00:00:00+08:00,98.202,98.21,98.18,98.186,0.0
2026-04-18 00:30:00+08:00,98.188,98.191,98.095,98.104,0.0
2026-04-18 01:00:00+08:00,98.104,98.128,98.067,98.072,0.0
2026-04-18 01:30:00+08:00,98.076,98.123,98.068,98.103,0.0
2026-04-18 02:00:00+08:00,98.103,98.12,98.083,98.103,0.0
2026-04-18 02:30:00+08:00,98.103,98.128,98.096,98.118,0.0
2026-04-18 03:00:00+08:00,98.119,98.138,98.086,98.099,0.0
2026-04-18 03:30:00+08:00,98.097,98.124,98.075,98.107,0.0
2026-04-18 04:00:00+08:00,98.11,98.11,97.998,98.033,0.0
2026-04-18 04:30:00+08:00,98.034,98.035,97.756,97.764,0.0
2026-04-18 05:00:00+08:00,97.766,97.804,97.632,97.776,0.0
2026-04-18 05:30:00+08:00,97.776,97.828,97.683,97.749,0.0
