signal_date,signal_year,entry_date,entry_price,tx_ret,z2_ret,mdd,profit_twd,signal,hold
2018-07-18,2018,2018-07-19,10720.0,-0.08638059701492537,-0.17966638161177217,-0.29244152740469637,-179666.38161177217,MA5 週線,6M
2018-08-02,2018,2018-08-03,10967.0,-0.09510349229506702,-0.18153228107673958,-0.292441527404696,-181532.28107673957,MA5 週線,6M
2018-08-10,2018,2018-08-13,10756.0,-0.07735217552993678,-0.19463904248974906,-0.29100377873547284,-194639.04248974906,MA5 週線,6M
2018-09-03,2018,2018-09-04,11002.0,-0.05826213415742592,-0.11732101643388682,-0.2859282145229143,-117321.01643388682,MA5 週線,6M
2018-09-18,2018,2018-09-19,10874.0,-0.0364171418061431,-0.07136813714367185,-0.28592821452291406,-71368.13714367185,MA5 週線,6M
2018-09-28,2018,2018-10-01,11006.0,-0.03707068871524623,-0.08019218306740983,-0.28592821452291456,-80192.18306740983,MA5 週線,6M
2018-10-02,2018,2018-10-03,10854.0,-0.019716233646581906,-0.05975489829147562,-0.26905933119784253,-59754.89829147562,MA5 週線,6M
2018-10-18,2018,2018-10-19,9901.0,0.1101908898091102,0.2263226284603692,-0.14476903224377133,226322.62846036922,MA5 週線,6M
2018-10-23,2018,2018-10-24,9715.0,0.13000514668039115,0.2627725086013726,-0.14476903224377113,262772.5086013726,MA5 週線,6M
2018-11-06,2018,2018-11-07,9847.0,0.10287397176805119,0.2251649404472542,-0.14476903224377125,225164.94044725422,MA5 週線,6M
2018-11-09,2018,2018-11-12,9812.0,0.0949857317570322,0.19491494502457596,-0.14476903224377108,194914.94502457595,MA5 週線,6M
2018-11-20,2018,2018-11-21,9728.0,0.07236842105263158,0.14001170099217153,-0.14476903224377147,140011.70099217154,MA5 週線,6M
2018-12-05,2018,2018-12-06,9672.0,0.07692307692307693,0.1043034655658952,-0.14054829701446592,104303.46556589521,MA5 週線,6M
2018-12-14,2018,2018-12-17,9790.0,0.07538304392236976,0.1637253634511242,-0.14054829701446622,163725.3634511242,MA5 週線,6M
2018-12-18,2018,2018-12-19,9747.0,0.08187134502923976,0.17048044171055388,-0.1405482970144658,170480.4417105539,MA5 週線,6M
2019-01-02,2019,2019-01-03,9443.0,0.13830350524197818,0.26520250032747983,-0.14054829701446597,265202.50032747985,MA5 週線,6M
2019-01-23,2019,2019-01-24,9860.0,0.09563894523326572,0.20386947530449961,-0.14054829701446583,203869.47530449962,MA5 週線,6M
2019-01-30,2019,2019-02-11,9998.0,0.047209441888377675,0.10656585200850466,-0.140548297014466,106565.85200850466,MA5 週線,6M
2019-02-15,2019,2019-02-18,10138.0,0.02702702702702703,0.06845828352717565,-0.1414582190832738,68458.28352717565,MA5 週線,6M
2019-03-04,2019,2019-03-05,10275.0,0.029391727493917275,0.0452307421210445,-0.1414582190832741,45230.742121044495,MA5 週線,6M
2019-03-25,2019,2019-03-26,10523.0,0.03573125534543381,0.0838242821644406,-0.14145821908327355,83824.2821644406,MA5 週線,6M
2019-04-12,2019,2019-04-15,10876.0,0.0006436189775652813,0.008742471583943034,-0.14145821908327355,8742.471583943034,MA5 週線,6M
2019-04-26,2019,2019-04-29,10933.0,0.03201317113326626,0.058016197594705776,-0.14145821908327397,58016.19759470577,MA5 週線,6M
2019-05-06,2019,2019-05-07,10971.0,0.03645975754261234,0.08988418256640451,-0.12192536965464947,89884.18256640452,MA5 週線,6M
2019-05-08,2019,2019-05-09,10747.0,0.08355820228901088,0.1359627020450358,-0.10925966070098603,135962.7020450358,MA5 週線,6M
2019-05-23,2019,2019-05-24,10341.0,0.12165167778744802,0.2585199677131482,-0.10468402879129203,258519.96771314822,MA5 週線,6M
2019-06-06,2019,2019-06-10,10540.0,0.10161290322580645,0.2479751653045712,-0.1046840287912916,247975.1653045712,MA5 週線,6M
2019-06-14,2019,2019-06-17,10545.0,0.13447131341868185,0.2840885474873305,-0.10468402879129177,284088.5474873305,MA5 週線,6M
2019-06-25,2019,2019-06-26,10505.0,0.14421703950499762,0.2935085703460014,-0.10468402879129173,293508.5703460014,MA5 週線,6M
2019-07-03,2019,2019-07-04,10707.0,0.12020173718128327,0.2639040933831618,-0.10468402879129207,263904.09338316176,MA5 週線,6M
